from_stop_id,from_stop_name,to_stop_id,to_stop_name,time_type,aggregated_mean,aggregated_sample_size,route_id,direction_id,route_mean,route_sample_size
9022005001254001,Vallaplan,9022005001253001,Parkgatan,night,60.77,38303,9011005021200000,0,66.81,5349
9022005001259002,Barnhemsgatan,9022005000046004,Trädgårdstorget,night,204.74,2351,9011005020300000,0,202.77,2101
9022005001259002,Barnhemsgatan,9022005000046004,Trädgårdstorget,night,204.74,2351,9011005020600000,0,221.34,250
9022005001259002,Barnhemsgatan,9022005001268002,Stora Torget,night,113.28,28902,9011005020300000,0,115.4,15316
9022005001259002,Barnhemsgatan,9022005001268002,Stora Torget,night,113.28,28902,9011005020600000,0,110.9,13586
9022005001268002,Stora Torget,9022005000050005,Linköpings resecentrum,night,283.61,309,9011005020300000,0,283.61,309
9022005001268002,Stora Torget,9022005001243002,Kungsgatan,night,99.29,28318,9011005020300000,0,101.83,15007
9022005001268002,Stora Torget,9022005001243002,Kungsgatan,night,99.29,28318,9011005020600000,0,96.43,13311
9022005001315001,Solhaga,9022005000215001,Gamla Linköping,night,148.74,17409,9011005020300000,0,148.74,17409
9022005001338001,Alsättersgatan,9022005001341001,Hangaren,night,57.21,17389,9011005020300000,0,57.21,17389
9022005001339001,Björnkärrsskolan,9022005001338001,Alsättersgatan,night,49.05,17386,9011005020300000,0,49.05,17386
9022005001341001,Hangaren,9022005001343001,Mårdtorpsgatan,night,91.6,17392,9011005020300000,0,91.6,17392
9022005001343001,Mårdtorpsgatan,9022005000214001,Ryd centrum,night,80.33,17998,9011005020300000,0,80.13,17404
9022005001343001,Mårdtorpsgatan,9022005000214001,Ryd centrum,night,80.33,17998,9011005022600000,0,86.15,594
9022005000214001,Ryd centrum,9022005001315001,Solhaga,pm_rush,122.56,8408,9011005020300000,0,123.29,7204
9022005000214001,Ryd centrum,9022005001315001,Solhaga,pm_rush,122.56,8408,9011005022600000,0,118.2,1204
9022005000215001,Gamla Linköping,9022005001254001,Vallaplan,pm_rush,74.29,17332,9011005020300000,0,73.7,7204
9022005000215001,Gamla Linköping,9022005001254001,Vallaplan,pm_rush,74.29,17332,9011005020600000,0,73.53,6450
9022005000215001,Gamla Linköping,9022005001254001,Vallaplan,pm_rush,74.29,17332,9011005021200000,0,76.76,3678
9022005001243002,Kungsgatan,9022005000050005,Linköpings resecentrum,pm_rush,124.25,7077,9011005020300000,0,124.25,7077
9022005001253001,Parkgatan,9022005001259002,Barnhemsgatan,pm_rush,117.47,13811,9011005020300000,0,117.81,7207
9022005001253001,Parkgatan,9022005001259002,Barnhemsgatan,pm_rush,117.47,13811,9011005020600000,0,117.25,6454
9022005001253001,Parkgatan,9022005001259002,Barnhemsgatan,pm_rush,117.47,13811,9011005021200000,0,110.69,150
9022005001254001,Vallaplan,9022005001253001,Parkgatan,pm_rush,78.09,17336,9011005020300000,0,77.13,7205
9022005001254001,Vallaplan,9022005001253001,Parkgatan,pm_rush,78.09,17336,9011005020600000,0,77.96,6452
9022005001254001,Vallaplan,9022005001253001,Parkgatan,pm_rush,78.09,17336,9011005021200000,0,80.22,3679
9022005001259002,Barnhemsgatan,9022005000046004,Trädgårdstorget,pm_rush,274.94,783,9011005020300000,0,262.97,683
9022005001259002,Barnhemsgatan,9022005000046004,Trädgårdstorget,pm_rush,274.94,783,9011005020600000,0,356.66,100
9022005001259002,Barnhemsgatan,9022005001268002,Stora Torget,pm_rush,135.74,12322,9011005020300000,0,135.29,6524
9022005001259002,Barnhemsgatan,9022005001268002,Stora Torget,pm_rush,135.74,12322,9011005020600000,0,136.25,5798
9022005001268002,Stora Torget,9022005000050005,Linköpings resecentrum,pm_rush,306.34,131,9011005020300000,0,306.34,131
9022005001268002,Stora Torget,9022005001243002,Kungsgatan,pm_rush,126.37,12071,9011005020300000,0,127.5,6394
9022005001268002,Stora Torget,9022005001243002,Kungsgatan,pm_rush,126.37,12071,9011005020600000,0,125.09,5677
9022005001315001,Solhaga,9022005000215001,Gamla Linköping,pm_rush,175.49,7203,9011005020300000,0,175.49,7203
9022005001338001,Alsättersgatan,9022005001341001,Hangaren,pm_rush,56.95,7203,9011005020300000,0,56.95,7203
9022005001339001,Björnkärrsskolan,9022005001338001,Alsättersgatan,pm_rush,52.77,7203,9011005020300000,0,52.77,7203
9022005001341001,Hangaren,9022005001343001,Mårdtorpsgatan,pm_rush,94.92,7204,9011005020300000,0,94.92,7204
9022005001343001,Mårdtorpsgatan,9022005000214001,Ryd centrum,pm_rush,84.93,8407,9011005020300000,0,84.29,7203
9022005001343001,Mårdtorpsgatan,9022005000214001,Ryd centrum,pm_rush,84.93,8407,9011005022600000,0,88.78,1204
9022005000214001,Ryd centrum,9022005001315001,Solhaga,weekend,122.88,15783,9011005020300000,0,123.07,14288
9022005000214001,Ryd centrum,9022005001315001,Solhaga,weekend,122.88,15783,9011005022600000,0,121.11,1495
9022005000215001,Gamla Linköping,9022005001254001,Vallaplan,weekend,68.88,30747,9011005020300000,0,69.8,14291
9022005000215001,Gamla Linköping,9022005001254001,Vallaplan,weekend,68.88,30747,9011005020600000,0,67.12,12546
9022005000215001,Gamla Linköping,9022005001254001,Vallaplan,weekend,68.88,30747,9011005021200000,0,71.19,3910
9022005001243002,Kungsgatan,9022005000050005,Linköpings resecentrum,weekend,108.59,14065,9011005020300000,0,108.59,14065
9022005001253001,Parkgatan,9022005001259002,Barnhemsgatan,weekend,93.39,27050,9011005020300000,0,95.66,14292
9022005001253001,Parkgatan,9022005001259002,Barnhemsgatan,weekend,93.39,27050,9011005020600000,0,90.74,12548
9022005001253001,Parkgatan,9022005001259002,Barnhemsgatan,weekend,93.39,27050,9011005021200000,0,97.76,210
9022005001254001,Vallaplan,9022005001253001,Parkgatan,weekend,63.23,30749,9011005020300000,0,64.8,14291
9022005001254001,Vallaplan,9022005001253001,Parkgatan,weekend,63.23,30749,9011005020600000,0,61.35,12548
9022005001254001,Vallaplan,9022005001253001,Parkgatan,weekend,63.23,30749,9011005021200000,0,63.5,3910
9022005001259002,Barnhemsgatan,9022005000046004,Trädgårdstorget,weekend,209.1,1841,9011005020300000,0,206.47,1643
9022005001259002,Barnhemsgatan,9022005000046004,Trädgårdstorget,weekend,209.1,1841,9011005020600000,0,230.96,198
9022005001259002,Barnhemsgatan,9022005001268002,Stora Torget,weekend,119.07,23608,9011005020300000,0,121.59,12651
9022005001259002,Barnhemsgatan,9022005001268002,Stora Torget,weekend,119.07,23608,9011005020600000,0,116.17,10957
9022005001268002,Stora Torget,9022005000050005,Linköpings resecentrum,weekend,291.86,228,9011005020300000,0,291.86,228
9022005001268002,Stora Torget,9022005001243002,Kungsgatan,weekend,99.86,23183,9011005020300000,0,102.51,12423
